CSF,MathematicalCSF,DifferentialCSF,ManifoldCSF
19000,19000,19000,19000
16768,16768,16768,16770
2232,2232,2232,2230
0.8825263157894737,0.8825263157894737,0.8825263157894737,0.8826315789473684
8.962372401247043,8.962372401247043,8.962372401247043,8.962372401247043
15.127687262512927,15.127687262512927,15.127687262512927,15.127687262512927
0.4709584943031238,0.4709584943031238,0.4709584943031238,0.4709584943031238
0.833207295360847,0.833207295360847,0.833207295360847,0.833207295360847
4.509169763427154,4.509169763427154,4.509169763427154,4.509169763427154
"[[2232, 6768], [0, 10000]]","[[2232, 6768], [0, 10000]]","[[2232, 6768], [0, 10000]]","[[2230, 6770], [0, 10000]]"
0.6437894736842106,0.6437894736842106,0.6437894736842106,0.6436842105263157
0.5963740458015268,0.5963740458015268,0.5963740458015268,0.5963029218843172
1.0,1.0,1.0,1.0
0.7471607890017932,0.7471607890017932,0.7471607890017932,0.7471049682480388
0.25768911055694116,0.25768911055694116,0.25768911055694116,0.257461178779657
0.624,0.624,0.624,0.6238888888888889
"{'fpr': [0.0, 0.752, 1.0], 'tpr': [0.0, 1.0, 1.0]}","{'fpr': [0.0, 0.752, 1.0], 'tpr': [0.0, 1.0, 1.0]}","{'fpr': [0.0, 0.752, 1.0], 'tpr': [0.0, 1.0, 1.0]}","{'fpr': [0.0, 0.7522222222222222, 1.0], 'tpr': [0.0, 1.0, 1.0]}"
0.6846886857307275,0.6846886857307286,0.684688685730729,0.685000875702632
0.7764663568486564,0.7764663568486561,0.7764663568486567,0.776630544568328
0.3562105263157895,0.3562105263157895,0.3562105263157895,0.3563157894736842
